molecule_chembl_id,canonical_smiles,standard_value,activity_class,MW,LogP,NumHDonors,NumHAcceptors,TPSA,pIC50,ADV_affinity
CHEMBL80814,COc1ccc(CCN2CCC(C(=O)NO)(S(=O)(=O)c3ccc(OC)cc3)CC2)cc1,34.0,active,448.5410000000002,2.0602,2.0,7.0,105.17,7.468521082957745,-9.5
CHEMBL276119,COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3cccc(OC)c3)CC2)cc1,9.0,active,434.5140000000002,2.0176999999999987,2.0,7.0,105.17,8.045757490560675,-9.1
CHEMBL78934,CCCCOc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3ccc(Cl)c(Cl)c3)CC2)cc1,20.0,active,515.4590000000003,4.486200000000003,2.0,6.0,95.94,7.698970004336019,-8.3
CHEMBL78369,O=C(NO)C1(S(=O)(=O)c2ccc(OCc3ccccc3)cc2)CCN(Cc2ccccc2)CC1,3.0,active,480.5860000000003,3.579500000000002,2.0,6.0,95.94,8.522878745280337,-9.8
CHEMBL514138,COc1ccc(S(=O)(=O)N(Cc2cccnc2)[C@@H](C(=O)NO)C(C)C)cc1.Cl,9.0,active,429.9260000000001,2.2329000000000003,2.0,6.0,108.83,8.045757490560675,0.0
CHEMBL80453,COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(CCCOc3ccccc3)CC2)cc1,44.0,active,448.5410000000003,2.2779999999999987,2.0,7.0,105.17,7.356547323513812,-7.5
CHEMBL312432,Cc1ccc(CN2CCC(C(=O)NO)(S(=O)(=O)c3ccc(OCc4ccc(Cl)cc4)cc3)CC2)cc1,6.0,active,529.0580000000003,4.541320000000003,2.0,6.0,95.94,8.221848749616356,-9.7
CHEMBL306617,CCCCOc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(CCOc3ccccc3)CC2)cc1,5.0,active,476.5950000000003,3.058200000000001,2.0,7.0,105.17,8.301029995663981,-7.4
CHEMBL79111,CCCCOc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(CC)CC2)cc1,43.0,active,384.4980000000002,1.9991,2.0,6.0,95.94,7.366531544420414,-7.2
CHEMBL78798,CCCCOc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3ccc(OCCN4CCCCC4)cc3)CC2)cc1,2.0,active,573.7560000000004,4.044100000000003,2.0,8.0,108.41,8.698970004336019,-7.5
CHEMBL80969,COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3ccccc3)CC2)cc1,10.0,active,404.48800000000017,2.0090999999999988,2.0,6.0,95.94,8.0,-7.1
CHEMBL78909,COc1ccc(CN2CCC(C(=O)NO)(S(=O)(=O)c3ccc(Oc4ccc(Cl)cc4)cc3)CC2)cc1,1.0,active,531.0300000000003,4.454800000000003,2.0,7.0,105.17,9.0,-8.7
CHEMBL76137,COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3ccc(-c4ccccc4)cc3)CC2)cc1,13.0,active,480.5860000000002,3.6761000000000017,2.0,6.0,95.94,7.886056647693163,-8.6
